ISBN;Book-Title;Book-Author;Year-Of-Publication;Publisher;Image-URL-S;Image-URL-M;Image-URL-L
2005018;Clara Callan;Richard Bruce Wright;2001;HarperFlamingo Canada;http://images.amazon.com/images/P/0002005018.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0002005018.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0002005018.01.LZZZZZZZ.jpg
2740230;Keep It Simple: And Get More Out of Life;Nick Page;1999;Trafalgar Square;http://images.amazon.com/images/P/0002740230.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0002740230.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0002740230.01.LZZZZZZZ.jpg
20199090;Joshua In the Holy Land;Joseph Girzone;1993;Simon Schuster Trade;http://images.amazon.com/images/P/0020199090.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0020199090.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0020199090.01.LZZZZZZZ.jpg
20427859;Over Sea, Under Stone;Susan Cooper;1989;Simon Pulse;http://images.amazon.com/images/P/0020427859.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0020427859.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0020427859.01.LZZZZZZZ.jpg
20437501;Rosie'S Walk;Pat Hutchins;1971;Aladdin;http://images.amazon.com/images/P/0020437501.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0020437501.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0020437501.01.LZZZZZZZ.jpg
20442408;Prince Caspian;C. S. Lewis;1970;MacMillan Publishing Company.;http://images.amazon.com/images/P/0020442408.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0020442408.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0020442408.01.LZZZZZZZ.jpg
26329859;From the Earth: Chinese Vegetarian Cooking;Eileen Yin-Fei Lo;1995;MacMillan Publishing Company.;http://images.amazon.com/images/P/0026329859.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0026329859.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0026329859.01.LZZZZZZZ.jpg
30096189;Organic Chemistry (Saunders Golden Sunburst Series);Stephen J. Weininger;1994;Saunders College Publishing;http://images.amazon.com/images/P/0030096189.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0030096189.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0030096189.01.LZZZZZZZ.jpg
60013117;Night Watch;Terry Pratchett;2002;HarperCollins;http://images.amazon.com/images/P/0060013117.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0060013117.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0060013117.01.LZZZZZZZ.jpg
60168013;Pigs in Heaven;Barbara Kingsolver;1993;Harpercollins;http://images.amazon.com/images/P/0060168013.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0060168013.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0060168013.01.LZZZZZZZ.jpg
60173289;Divine Secrets of the Ya-Ya Sisterhood : A Novel;Rebecca Wells;1996;HarperCollins;http://images.amazon.com/images/P/0060173289.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0060173289.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0060173289.01.LZZZZZZZ.jpg
60177586;Standing Firm: A Vice-Presidential Memoir;Dan Quayle;1994;Harpercollins;http://images.amazon.com/images/P/0060177586.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0060177586.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0060177586.01.LZZZZZZZ.jpg
60188731;Bel Canto;Ann Patchett;2001;HarperCollins Publishers;http://images.amazon.com/images/P/0060188731.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0060188731.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0060188731.01.LZZZZZZZ.jpg
60199563;Thief of Time;Terry Pratchett;2001;HarperCollins Publishers;http://images.amazon.com/images/P/0060199563.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0060199563.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0060199563.01.LZZZZZZZ.jpg
60391448;Wicked : The Life and Times of the Wicked Witch of the West;Gregory Maguire;1995;HarperCollins;http://images.amazon.com/images/P/0060391448.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0060391448.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0060391448.01.LZZZZZZZ.jpg
60392452;Stupid White Men ...and Other Sorry Excuses for the State of the Nation!;Michael Moore;2002;Regan Books;http://images.amazon.com/images/P/0060392452.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0060392452.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0060392452.01.LZZZZZZZ.jpg
60502320;I've Got You, Babe;Karen Kendall;2002;Avon;http://images.amazon.com/images/P/0060502320.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0060502320.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0060502320.01.LZZZZZZZ.jpg
60558865;Ella Enchanted (rack);Gail Carson Levine;2004;Avon;http://images.amazon.com/images/P/0060558865.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0060558865.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0060558865.01.LZZZZZZZ.jpg
60563079;Peter Pan: The Original Story (Peter Pan);J. M. Barrie;2003;HarperFestival;http://images.amazon.com/images/P/0060563079.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0060563079.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0060563079.01.LZZZZZZZ.jpg
60575808;Two Princesses of Bamarre, The;Gail Carson Levine;2004;Eos;http://images.amazon.com/images/P/0060575808.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0060575808.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0060575808.01.LZZZZZZZ.jpg
60621257;Living in the Presence: Disciplines for the Spiritual Heart;Tilden H. Edwards;1988;Harpercollins;http://images.amazon.com/images/P/0060621257.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0060621257.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0060621257.01.LZZZZZZZ.jpg
60801263;Tree Grows In Brooklyn;Betty Smith;1988;Harpercollins Publisher;http://images.amazon.com/images/P/0060801263.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0060801263.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0060801263.01.LZZZZZZZ.jpg
60804157;He Understanding Masculine Psychology;Robert A Johnson;1977;Harpercollins Publisher;http://images.amazon.com/images/P/0060804157.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0060804157.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0060804157.01.LZZZZZZZ.jpg
60809027;My Friend Flicka;Mary O'Hara;1988;Perennial;http://images.amazon.com/images/P/0060809027.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0060809027.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0060809027.01.LZZZZZZZ.jpg
60913509;In Country RI;Bobbie Ann Mason;1986;Perennial;http://images.amazon.com/images/P/0060913509.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0060913509.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0060913509.01.LZZZZZZZ.jpg
60914068;Love, Medicine and Miracles;M.D. Bernie S. Siegel;1988;HarperCollins Publishers;http://images.amazon.com/images/P/0060914068.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0060914068.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0060914068.01.LZZZZZZZ.jpg
60915544;The Bean Trees;Barbara Kingsolver;1989;Perennial;http://images.amazon.com/images/P/0060915544.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0060915544.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0060915544.01.LZZZZZZZ.jpg
60917016;Homeland and Other Stories;Barbara Kingsolver;1990;Perennial;http://images.amazon.com/images/P/0060917016.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0060917016.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0060917016.01.LZZZZZZZ.jpg
60923245;Sweet Hereafter Movie Tie-In : A Novel;Russell Banks;1992;Perennial;http://images.amazon.com/images/P/0060923245.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0060923245.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0060923245.01.LZZZZZZZ.jpg
60925000;A Suitable Boy : Novel, A;Vikram Seth;1994;Perennial;http://images.amazon.com/images/P/0060925000.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0060925000.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0060925000.01.LZZZZZZZ.jpg
60929790;One Hundred Years of Solitude;Gabriel Garcia Marquez;1998;Perennial;http://images.amazon.com/images/P/0060929790.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0060929790.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0060929790.01.LZZZZZZZ.jpg
60930365;My First Cousin Once Removed: Money, Madness, and the Family of Robert Lowell;Sarah Payne Stuart;1999;Perennial;http://images.amazon.com/images/P/0060930365.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0060930365.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0060930365.01.LZZZZZZZ.jpg
60930535;The Poisonwood Bible: A Novel;Barbara Kingsolver;1999;Perennial;http://images.amazon.com/images/P/0060930535.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0060930535.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0060930535.01.LZZZZZZZ.jpg
60932759;Daughter of Fortune;Isabel Allende;2000;Perennial;http://images.amazon.com/images/P/0060932759.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0060932759.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0060932759.01.LZZZZZZZ.jpg
60934417;Bel Canto: A Novel;Ann Patchett;2002;Perennial;http://images.amazon.com/images/P/0060934417.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0060934417.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0060934417.01.LZZZZZZZ.jpg
60934700;Smoke and Mirrors: Short Fictions and Illusions;Neil Gaiman;2001;Perennial;http://images.amazon.com/images/P/0060934700.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0060934700.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0060934700.01.LZZZZZZZ.jpg
60934719;stardust;Neil Gaiman;2001;Perennial;http://images.amazon.com/images/P/0060934719.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0060934719.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0060934719.01.LZZZZZZZ.jpg
60938412;The Accidental Virgin;Valerie Frankel;2003;Avon Trade;http://images.amazon.com/images/P/0060938412.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0060938412.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0060938412.01.LZZZZZZZ.jpg
60938455;Fast Food Nation: The Dark Side of the All-American Meal;Eric Schlosser;2002;Perennial;http://images.amazon.com/images/P/0060938455.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0060938455.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0060938455.01.LZZZZZZZ.jpg
60973129;Decision in Normandy;Carlo D'Este;1991;HarperPerennial;http://images.amazon.com/images/P/0060973129.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0060973129.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0060973129.01.LZZZZZZZ.jpg
60973897;Lakota Woman;Dog Mary Crow;1991;Perennial;http://images.amazon.com/images/P/0060973897.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0060973897.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0060973897.01.LZZZZZZZ.jpg
60976845;Little Altars Everywhere: A Novel;Rebecca Wells;1996;Perennial;http://images.amazon.com/images/P/0060976845.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0060976845.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0060976845.01.LZZZZZZZ.jpg
60976977;Amazing Grace : Lives of Children and the Conscience of a Nation, The;Jonathan Kozol;1996;Perennial;http://images.amazon.com/images/P/0060976977.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0060976977.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0060976977.01.LZZZZZZZ.jpg
60977477;The Perfect Storm : A True Story of Men Against the Sea;Sebastian Junger;1999;Perennial;http://images.amazon.com/images/P/0060977477.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0060977477.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0060977477.01.LZZZZZZZ.jpg
60977493;The God of Small Things;Arundhati Roy;1998;Perennial;http://images.amazon.com/images/P/0060977493.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0060977493.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0060977493.01.LZZZZZZZ.jpg
60987103;Wicked: The Life and Times of the Wicked Witch of the West;Gregory Maguire;1996;Regan Books;http://images.amazon.com/images/P/0060987103.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0060987103.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0060987103.01.LZZZZZZZ.jpg
61000280;The Fly on the Wall;Tony Hillerman;1990;HarperTorch;http://images.amazon.com/images/P/0061000280.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0061000280.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0061000280.01.LZZZZZZZ.jpg
61020699;Equal Rites (Discworld Novels (Paperback));Terry Pratchett;2000;HarperTorch;http://images.amazon.com/images/P/0061020699.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0061020699.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0061020699.01.LZZZZZZZ.jpg
61020702;The Light Fantastic (Discworld Novels (Paperback));Terry Pratchett;2000;HarperTorch;http://images.amazon.com/images/P/0061020702.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0061020702.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0061020702.01.LZZZZZZZ.jpg
61020710;The Color of Magic;Terry Pratchett;2000;HarperTorch;http://images.amazon.com/images/P/0061020710.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0061020710.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0061020710.01.LZZZZZZZ.jpg
61030147;Cybill Disobedience: How I Survived Beauty Pageants, Elvis, Sex, Bruce Willis, Lies, Marriage, Motherhood, Hollywood, and the Irrepressible Urge to Say What I Think;Cybill Shepherd;2001;Avon Books;http://images.amazon.com/images/P/0061030147.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0061030147.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0061030147.01.LZZZZZZZ.jpg
61040967;The Last Hero : A Discworld Fable (Discworld Novels (Hardcover));Terry Pratchett;2001;HarperCollins;http://images.amazon.com/images/P/0061040967.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0061040967.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0061040967.01.LZZZZZZZ.jpg
61050474;Jingo: A Discworld Novel (Discworld Series/Terry Pratchett);Terry Pratchett;1998;HarperPrism;http://images.amazon.com/images/P/0061050474.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0061050474.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0061050474.01.LZZZZZZZ.jpg
61052515;Maskerade: A Novel of Discworld (Pratchett, Terry. Discworld Series (New York, N.Y.).);Terry Pratchett;1997;HarperPrism;http://images.amazon.com/images/P/0061052515.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0061052515.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0061052515.01.LZZZZZZZ.jpg
61052523;Interesting Times: A Novel of Discworld;Terry Pratchett;1997;Harpercollins;http://images.amazon.com/images/P/0061052523.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0061052523.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0061052523.01.LZZZZZZZ.jpg
